Technology,HaveLanguages,WantLanguages,HaveDatabases,WantDatabases,HavePlatforms,WantPlatforms,HaveFrameworks,WantFrameworks
ASP.NET,0.0,0.0,0.0,0.0,0.0,0.0,3094.0,1847.0
ASP.NET CORE,0.0,0.0,0.0,0.0,0.0,0.0,4319.0,4166.0
Ada,107.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0
Alibaba Cloud,0.0,0.0,0.0,0.0,206.0,237.0,0.0,0.0
Amazon Web Services (AWS),0.0,0.0,0.0,0.0,10871.0,10516.0,0.0,0.0
Angular,0.0,0.0,0.0,0.0,0.0,0.0,4038.0,3309.0
AngularJS,0.0,0.0,0.0,0.0,0.0,0.0,1648.0,794.0
Apex,176.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
Assembly,685.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro,0.0,0.0,0.0,0.0,0.0,0.0,742.0,1147.0
Bash/Shell (all shells),7244.0,5582.0,0.0,0.0,0.0,0.0,0.0,0.0
BigQuery,0.0,0.0,1177.0,1296.0,0.0,0.0,0.0,0.0
Blazor,0.0,0.0,0.0,0.0,0.0,0.0,1256.0,1665.0
C,2777.0,1833.0,0.0,0.0,0.0,0.0,0.0,0.0
C#,6340.0,5590.0,0.0,0.0,0.0,0.0,0.0,0.0
C++,3081.0,2341.0,0.0,0.0,0.0,0.0,0.0,0.0
Cassandra,0.0,0.0,544.0,1083.0,0.0,0.0,0.0,0.0
Clickhouse,0.0,0.0,399.0,636.0,0.0,0.0,0.0,0.0
Clojure,245.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloud Firestore,0.0,0.0,1467.0,1155.0,0.0,0.0,0.0,0.0
Cloudflare,0.0,0.0,0.0,0.0,3874.0,4219.0,0.0,0.0
Cobol,122.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
Cockroachdb,0.0,0.0,247.0,567.0,0.0,0.0,0.0,0.0
CodeIgniter,0.0,0.0,0.0,0.0,0.0,0.0,416.0,183.0
Colocation,0.0,0.0,0.0,0.0,140.0,176.0,0.0,0.0
Cosmos DB,0.0,0.0,1070.0,1172.0,0.0,0.0,0.0,0.0
